id,ime,zanr,godina,rating,popust,osnovna_cena
1,Far Cry 6,Action,2021,8.1,15,50
2,The Witcher 3: Wild Hunt,RPG,2015,9.6,40,40
3,Cyberpunk 2077,RPG,2020,8,50,60
4,Red Dead Redemption 2,Action,2018,9.7,35,60
5,GTA V,Action,2013,9.5,60,30
6,L.A. Noire,Detective,2011,8.5,45,30
7,God of War,Action,2018,9.6,45,50
8,God of War Ragnarök,Action,2022,9.5,15,70
9,Assassins Creed Valhalla,Action,2020,8.4,55,60
10,Assassins Creed Odyssey,Action,2018,8.7,65,50
11,Horizon Zero Dawn,Action,2017,8.9,50,50
12,Horizon Forbidden West,Action,2022,8.8,25,70
13,Resident Evil 4 Remake,Horror,2023,9.2,30,60
14,Resident Evil Village,Horror,2021,8.5,40,60
15,Dark Souls III,RPG,2016,9.1,60,50
16,Sekiro: Shadows Die Twice,Action,2019,9.3,35,60
17,Death Stranding,Adventure,2019,8.6,55,60
18,Spider-Man Remastered,Action,2020,9.2,40,50
19,Spider-Man Miles Morales,Action,2020,8.8,35,50
20,Call of Duty: MW II,Shooter,2022,7.9,20,70
21,Battlefield 1,Shooter,2016,8.4,70,40
22,Battlefield V,Shooter,2018,7.8,65,50
23,DOOM Eternal,Shooter,2020,9,50,60
24,Minecraft,Sandbox,2011,9.4,10,30
25,FIFA 23,Sports,2022,7.6,75,60
26,EA Sports FC 24,Sports,2023,7.4,50,70
27,The Last of Us Part I,Action,2022,9.3,30,70
28,The Last of Us Part II,Action,2020,9.1,45,60
29,Starfield,RPG,2023,7.8,20,70
30,Baldurs Gate 3,RPG,2023,9.8,15,60
31,Control,Action,2019,8.7,55,40
32,Elden Ring,RPG,2022,9.6,20,60
